"Gene.name","HeLa.S3.WT.00_h.R1","HeLa.S3.WT.00_h.R2","HeLa.S3.WT.00_h.R3","HeLa.S3.WT.02_h.R1","HeLa.S3.WT.02_h.R2","HeLa.S3.WT.02_h.R3","HeLa.S3.WT.04_h.R1","HeLa.S3.WT.04_h.R2","HeLa.S3.WT.04_h.R3","HeLa.S3.WT.08_h.R1","HeLa.S3.WT.08_h.R2","HeLa.S3.WT.08_h.R3","HeLa.S3.WT.16_h.R1","HeLa.S3.WT.16_h.R2","HeLa.S3.WT.16_h.R3","HeLa.S3.WT.24_h.R1","HeLa.S3.WT.24_h.R2","HeLa.S3.WT.24_h.R3"
"E1W7Q1",2.5,5,1,0,1,1,1,1,1,2,6,1,6,5,4,24,21,25.5
"E1W7Q2",7.5,1.5,2,0.5,0,0,1,3.5,1,0,1.5,0,2.5,4,1,12.5,12.5,22.5
"E1W7Q6",3.5,4.5,2.5,2,2,0,1.5,1.5,0.5,0.5,0,1,3,5,7.5,46,41,51.5
"E1W7Q7",6.5,14,2.5,1,0,3.5,0.5,1.5,0.5,0.5,1.5,3.5,8.5,7,12,74.5,66.5,75.5
"E1W7Q9",5.5,14,2,1.5,0,0,3.5,0.5,0,0,4,4,6.5,7,11.5,60.5,69.5,85.5
"E1W7R0",7,8,7,2.5,0,0,0,4.5,0,2,0.5,3,5.5,6,8,39,38.5,49.5
"E1W7R2",11,9,6.5,1,2,0.5,0,4.5,1.5,3.5,0,1,9.5,13.5,13.5,75,83.5,95
"E1W7R3",87.5,119.5,138.5,8.5,10.5,1,17.5,34,9.5,8.5,24.5,27,75.5,85,112,532.5,617,977
"E1W7R4",48.5,47.5,71.5,1.5,4,1,5,6,2,3,11,6.5,49.5,45.5,67.5,323,416.5,541
"E1W7R5",4,1.5,7.5,1,0,0,1.5,0.5,0.5,1,4,1,4,9,11.5,68,74,107.5
"E1W7R7",1495,2309,763.5,103.5,135,30,154.5,247.5,43.5,47,76,90.5,230,298.5,233,1393,1638.5,1607.5
"E1W7R8",155,237,35,11.5,17,2,18.5,38.5,0.5,0.5,3,4,7,13,22,42.5,47.5,97.5
"E1W7R9",56,70,52,8.5,7.5,2.5,11,24.5,5.5,10.5,18.5,13.5,41.5,39.5,41,203.5,215,251.5
"E1W7S0",198.5,238,254,25.5,30,14.5,56.5,87,27,61,128,69.5,168.5,208,174,741,767.5,837
"E1W7S1",37,55.5,51,10,6,2,18.5,29.5,5,13,32.5,12,48.5,53.5,42,143,176,207
"E1W7S2",6.5,19,11.5,1,0.5,0,1,2.5,3.5,2,7.5,4,8.5,19.5,13.5,34,44.5,72.5
"E1W7S3",37,49.5,48.5,9,6,9.5,8,22.5,4.5,14.5,19.5,8,26.5,42,36,135.5,167.5,180.5
"E1W7S4",13.5,17.5,12,1.5,3,0,1,3,0.5,0.5,4.5,2.5,4,11,10,63.5,61,85.5
"E1W7S5",7.5,12,11.5,1,0.5,0,1,3,1.5,4.5,6.5,2,9.5,11.5,12.5,56,57.5,98
"E1W7S6",3.5,9,6,1,0,0,1.5,5,2,1.5,5,4.5,6,10.5,5,29,31.5,34
"E1W7S7",17,23.5,9,2.5,2.5,1,4.5,3.5,2.5,5.5,9.5,6,14,14.5,12,58.5,64,58.5
"E1W7T8",19.5,17.5,26.5,9,11,3.5,15.5,19,5.5,10,29.5,13,21,33,22.5,28,42,45.5
"E1W7U0",48.5,51,77,3.5,7,2.5,3.5,14.5,5.5,8.5,19.5,6,15.5,22.5,11.5,30.5,41,50
"E1W7U1",42.5,44.5,77,13.5,20,15.5,31.5,65,15,38.5,61.5,10.5,48.5,53.5,33,83.5,74.5,131.5
"E1W7U5",2,4.5,3,1,0.5,0,0,0.5,0,1,2.5,0,2,2.5,3.5,23.5,24,37.5
"E1W7U7",3.5,3.5,2,1.5,1,0,2,2.5,0,0.5,1.5,1.5,6.5,6,6.5,45,56.5,55.5
"E1W7U9",80.5,77,84,5,7.5,3,13.5,20.5,22,58,180.5,43,240,292,198,650.5,851,918
"E1W7V3",6.5,9.5,1,0,0.5,0.5,1.5,4.5,0,1.5,3.5,3,5.5,8.5,7,55,76.5,79.5
"E1W7V4",15,10.5,7,1.5,1,1,2.5,1,1,0.5,3,4,2,3,3.5,13.5,17.5,19.5
"E1W7V5",4.5,5.5,3.5,19.5,22.5,21,39,54.5,27,29.5,61,41.5,62.5,88.5,56.5,56,68,67.5
"E1W7V6",9,13,8,16.5,19.5,8,65,86.5,23,78,172.5,132.5,209.5,271,243.5,312,382.5,360
"E1W7V7",8,5,2.5,2.5,4,0,5.5,16.5,2,4.5,12,3.5,10.5,13,28.5,137.5,176,157
"E1W7V8",2.5,3,3.5,0,1.5,0,1,0.5,1,2,1.5,2.5,1,2.5,2.5,6,8.5,11.5
"E1W7V9",7.5,4.5,12.5,0.5,1.5,0,2.5,1.5,1,3,5.5,2,5,9.5,10,23.5,33,38
"E1W7W0",31.5,41,21,1.5,2,0.5,10,12,10.5,8,14,12,31,45,55.5,308,378,372.5
"E1W7W1",19,30.5,40,2.5,5.5,2.5,7,10.5,3,12.5,25,16.5,36,41,27.5,82.5,106.5,133
"E1W7W2",17,22,17.5,4,2.5,1,4.5,8,4,2,19.5,4,25,32,19,44.5,52.5,74.5
"E1W7W3",33,51.5,51.5,6.5,8.5,3.5,7.5,24,4.5,16,46.5,17.5,51.5,65,41,112.5,129,138.5
"E1W7W4",66.5,71,54,4.5,7.5,4,11,30.5,8.5,16.5,34,27,48,63.5,46.5,111,123,177
"E1W7W5",94,111.5,117.5,17,18.5,10,32.5,52.5,21,41.5,93.5,54,117,142.5,103,253,305,350
"E1W7W6",159,234.5,187.5,28,35,16.5,43,96,33.5,66.5,157.5,90.5,143,193,122,405,459,534.5
"E1W7W7",12,12.5,20,1,4,1,1,4,2,3.5,9.5,6.5,14.5,12.5,12.5,56,59,74.5
"E1W7W8",41.5,41.5,22.5,5.5,5.5,0.5,2,8.5,1.5,15.5,39,4,25,38.5,17,106,144.5,84.5
"E1W7W9",34.5,36.5,51.5,2,2.5,4,5,8,2.5,4.5,7,7,32,36,50,317.5,343,401
"E1W7X0",21,31,28.5,0.5,2.5,1,3,8,2.5,4,7.5,6,27.5,29.5,60,344,388.5,555.5
"E1W7X3",2,0.5,2,0,1.5,0,0.5,0,0,0.5,2,0,4,2,3.5,16,20,26
"E1W7X5",3.5,2,1.5,0,0.5,0,2,3,1,1.5,6,0.5,6,4.5,7,56,60.5,69.5
"E1W7X6",2,2,2,0.5,0.5,0.5,2,5,2.5,2,8.5,2,7.5,14,11.5,64.5,58,65.5
"E1W7X7",8.5,11.5,11,2,0.5,1,2.5,3,3.5,3.5,5,7,16,19.5,23,99,119,164.5
"E1W7X9",7.5,11.5,8.5,0,1.5,0,1.5,1,0,0,0.5,1.5,7,7,13,72.5,79.5,103.5
"E1W7Y0",4,5.5,5.5,0,1,0,2,1.5,0,0.5,1,1,2.5,4.5,8.5,53,72,80
"E1W7Y1",9.5,11.5,11.5,0,1.5,0,0.5,2,0,1,1.5,2,9,7,9,60,77.5,87
"E1W7Y2",8.5,11,12,0,2,1.5,1,3,1,4.5,6,5.5,9,10,6,17,22,27.5
"E1W7Y3",18.5,17,27.5,1.5,4,3,3.5,8.5,2.5,9.5,13.5,6,24,19.5,15,35,41,46
"E1W7Y4",19,20,17.5,5.5,4,0.5,5,15,4,9.5,20.5,9,24,39.5,16.5,41,48,45.5
"E1W7Y5",28.5,29.5,40.5,3,3,1,9.5,19.5,5.5,9,18.5,10,31.5,35.5,27,83.5,85,112.5
"E1W7Y6",228.5,322.5,270.5,22.5,21.5,15,28,54.5,51,125,160,70,227,284.5,236,384,450,396
"E1W7Y7",0,2,2,1,1,0,3.5,1.5,0,1,2.5,1,2.5,3.5,3.5,20.5,30,36
"E1W7Y8",17.5,26.5,20.5,1.5,2.5,0,5.5,15,6,11,14,5,20.5,26.5,14,67.5,58.5,81
"E1W7Y9",7,19,11.5,1.5,1.5,2.5,3.5,3.5,2.5,5.5,6,11,17,12.5,12,55,61.5,73.5
"E1W7Z0",35,45,48,5.5,6,1,8.5,15.5,5.5,7.5,16.5,15.5,26,38.5,20,100,92.5,120.5
"E1W7Z1",79,107,97.5,11,13.5,11,26.5,39.5,12.5,27.5,48.5,47.5,110.5,120.5,105,408,463,415.5
"E1W7Z2",94.5,114,98,15.5,28.5,13.5,27,46.5,26.5,21,73.5,60.5,123.5,147,176,451,515.5,575
"E1W7Z3",69,88,77,15,20.5,8.5,21.5,30,28,16,52,58.5,133,134.5,164,426.5,411,457
"E1W7Z4",840.5,1027.5,579.5,79,114,15.5,94.5,163.5,80.5,55.5,210,196,428.5,548.5,472,1108.5,1197,1003
"E1W7Z5",58,76,97,6.5,10.5,5,18.5,28,14.5,14.5,36,20.5,74.5,77,56,100.5,114.5,128
"E1W7Z6",45.5,48,50.5,2.5,7,4,11.5,17,7,9,28.5,12,43.5,50.5,29,68.5,85.5,86.5
"E1W7Z7",61,75.5,94.5,10.5,16.5,3.5,18,46,12,25,42.5,27.5,57,75.5,62.5,112.5,112,129.5
"E1W7Z8",95,117.5,102,13.5,21.5,8.5,26,48.5,15.5,28,54.5,45.5,59,70,71,131,150.5,157
"E1W7Z9",44,50,59.5,3,9,6,8.5,17.5,9.5,9,17,21.5,36.5,35.5,36,67,87.5,97
"E1W800",47,61,60.5,1.5,7.5,5,12,18,9,12.5,21.5,21.5,31,41,56,125.5,118,163
"E1W801",63.5,79.5,92,7,19,5,16.5,21,12.5,13,28,25.5,69.5,80,75.5,163,208,228.5
"E1W802",82,133,145.5,6.5,18.5,11.5,17.5,37,13,11,31,26.5,54.5,64,83,206.5,233,276.5
"E1W803",63,72,78.5,9,8.5,10.5,12.5,15,4.5,10.5,28,17,51,60.5,52,200,213.5,225.5
"E1W804",196,262,204,22,21.5,7.5,23,37,16.5,28,55,58,107,126.5,122,447,444.5,500.5
"E1W805",152.5,166,230.5,22,32,19,42,83,27,36.5,90.5,58,137,172,156,471.5,511,637
"E1W806",464.5,685,456,48.5,72,22.5,87,174,37,93.5,182,124.5,451,572,546.5,3137.5,3605,3640.5
"E1W807",21.5,27,19,1.5,1.5,0,3.5,4,1,2.5,4.5,5.5,8.5,13,9,54.5,56,62.5
"E1W808",220.5,232.5,256,9,23,4.5,27,38.5,7.5,30,57,37,80,90.5,65.5,271.5,311.5,339.5
"E1W809",4.5,5,6,0,0.5,0,0,0.5,0.5,0.5,1.5,1.5,1.5,2,3,6.5,12,10
"E1W810",8,11.5,8,2.5,1,0,1.5,1.5,0.5,3.5,2.5,1.5,6.5,2.5,4,8.5,12.5,17
"E1W811",16,27,23,2.5,1.5,0.5,0,3.5,3,3.5,4,3.5,7,9.5,11.5,47.5,59,50
"E1W812",19,21.5,14,2,1,0,2,11,0,4.5,6.5,2.5,13,8.5,10.5,41,43,55.5
"E1W813",72.5,90,54,4,4,1,11,27.5,5.5,6.5,16.5,10,47,59.5,52,319.5,341,388.5
"E1W814",4.5,1.5,6.5,0.5,0,0,0.5,2,0,0,1,0,3,5,8.5,29.5,35.5,57
"E1W815",1,1.5,2,1.5,0,0,0,1.5,0,0,3,1,3.5,3,3.5,30.5,30,54.5
"E1W817",11,12.5,17.5,0,0.5,0,2,3,1,2,5.5,2.5,6,6.5,5.5,37,46,53
"E1W818",16.5,17.5,29.5,1,6.5,2,4.5,1.5,1.5,5,9,3.5,9.5,9.5,15,49,49,68
"E1W819",36,42,51,4.5,7,3,6,10.5,8,19.5,51.5,5.5,57.5,80,45,241.5,240.5,484
"E1W821",3.5,3,8,0.5,0.5,0,0,0.5,0,0.5,2,2,2.5,3,1,18.5,26.5,38.5
"E1W822",27.5,37.5,33,2,3.5,0,4.5,8.5,3,4.5,7,4.5,17,11,14.5,63.5,63.5,92.5
"E1W823",434,515.5,307,7.5,15.5,4,11.5,30,11.5,3,18.5,22,65.5,92.5,119.5,639,745.5,1001
"E1W824",1244.5,1525,2163.5,42.5,47.5,18.5,81.5,108,37,100,168.5,60.5,252.5,282.5,226.5,1055.5,1136,1361.5
"E1W825",683,859.5,991.5,29,36,11.5,38.5,92,29,53.5,98.5,47,131.5,174.5,93.5,367,406.5,402.5
"E1W826",498.5,654.5,913,24.5,40.5,22.5,53.5,98,25.5,61,115.5,65,153,208,147,633,699.5,828.5
"E1W830",208.5,300,381,17.5,35.5,25.5,35.5,57.5,27.5,50,83,69.5,140.5,157.5,135,336.5,363.5,501
"E1W831",51,55,57,2,3,0,7.5,9,2,5,14.5,8,14.5,20,26,43.5,57,54
"E1W832",44.5,55,40.5,4,6.5,1.5,4,5,1.5,7,11,10.5,18,21,32.5,87,93,94.5
"E1W834",6,8.5,3,0,0,1,0,1,0,0.5,1.5,1.5,5.5,4,3,23,33.5,31
"E1W835",42,58,25,3.5,3,2.5,6.5,16,3,2.5,7,5.5,12,18,15,82.5,76.5,77.5
"E1W836",75.5,97,51,7.5,7.5,3,12.5,24,7,5.5,16,10.5,26,26,26.5,137,144.5,144
"E1W837",16,28.5,17.5,1,6.5,2.5,4.5,10.5,2,5.5,13.5,6.5,21,25.5,27,111.5,114,151
"E1W838",37,50.5,44.5,5,11,4,6.5,17.5,3,8,19,8.5,35,46.5,33,178.5,215,248
"E1W839",44.5,46,26.5,4,7.5,2,4.5,8.5,4,3,12,12,11,20,19.5,67,80,92
"E1W840",26,31,46,5.5,10,1,6,12,12.5,7,21,11.5,11,23,16.5,72,63.5,94.5
"E1W841",31.5,43,64,4,3.5,4.5,13,15.5,4,13,31.5,17.5,40.5,44.5,46.5,105.5,106,138
"E1W842",80,94.5,91,10.5,4.5,0.5,12.5,8.5,5,10.5,13,10,32,28.5,24,106,120,125.5
"E1W843",131,143.5,121.5,7.5,10,2.5,12.5,19.5,8.5,11,14.5,22.5,51,75.5,52,149.5,169,209.5
"E1W844",14,13,20,1.5,0.5,4,2,6,0,2.5,5.5,7,9.5,20,17.5,71.5,83,76.5
"E1W845",13,14.5,21.5,2,0,0,2,3,1.5,2.5,5.5,4.5,10,8.5,16.5,52,57,74
"E1W846",5.5,9,5.5,0.5,0,0,1.5,2,1,2,2,0.5,3,6.5,9.5,37,45,60
"E1W847",1,4,2.5,0,1,0,0.5,3,0.5,0.5,1.5,0.5,2,7,6,45.5,43.5,39
"E1W851",13.5,17.5,17,0.5,4.5,0.5,3,6,2,5.5,6.5,4.5,14.5,18,22,82,101.5,129.5
"E1W852",14.5,18.5,20,1.5,5,2.5,2,6.5,3.5,7,2.5,6,9,19,11.5,37,43,60
"E1W853",6,14.5,11.5,4,0.5,0,3,4,2.5,2.5,4.5,1,9,9.5,7.5,55,56,53
"E1W855",5.5,11.5,7,1,1.5,0,0.5,1.5,1,3.5,2,1,4.5,5,5,18.5,15.5,29
"E1W856",83,113.5,80.5,3,7,0.5,8,8,4,8,18.5,7.5,35,43,35.5,177.5,220.5,254
"E1W857",15,19.5,11.5,3.5,2.5,1,3,4,2,4,4.5,5,15,17,18,73,70.5,105.5
"E1W858",100,128.5,95,10,14.5,9,21,40,16.5,14.5,27.5,28.5,68,67,57.5,239.5,275.5,331.5
"E1W859",21,17.5,17.5,3,3.5,1.5,4.5,9,4,5.5,10,8,18,26.5,12.5,63,60,69
"E1W860",13,14,9.5,0.5,2,0,1.5,4.5,1,2,3,3,4,10,8,25.5,41.5,50
"E1W861",22,26.5,33.5,3,5.5,0.5,4.5,5,4.5,4,7,4.5,28.5,35,39,177.5,181,254.5
"E1W862",65.5,81.5,87,7.5,15,3,18,31.5,12,26.5,39,28,100,104,93.5,671.5,696.5,844
"E1W863",171.5,203,297.5,10,16.5,6.5,21,45.5,16,13,23.5,21,64,79.5,82.5,307.5,419.5,495.5
"E1W864",25,32.5,51.5,0.5,6.5,0,3.5,2.5,4,2,2,2.5,9.5,18,7.5,30,17.5,35.5
"E1W865",33,34,38.5,4,6.5,1,6,12.5,8.5,3,10,7,13,15.5,21,51.5,43.5,60
"E1W866",42.5,48.5,47,5,5,1,5.5,8.5,5.5,4.5,9,5,18.5,30.5,19.5,81.5,88.5,115.5
"E1W868",3,5.5,9.5,1,1,0,0,3,5.5,3.5,6,3,7,18,17,80.5,91.5,100.5
"E1W873",5,10.5,1.5,3,0,1,3,4,1,0.5,3.5,2.5,8,4.5,6,25.5,29.5,51.5
"E1W874",31,56.5,39,3,1.5,4.5,7,12,7.5,9.5,18.5,11.5,34.5,43.5,37.5,187.5,193,232.5
"E1W875",25.5,31.5,22,2.5,2,2,5.5,6,2.5,3.5,9.5,9,13,11.5,17,87,75.5,94
"E1W876",141,193.5,110,15.5,26,8,29,65,16,14.5,47,43,121.5,142.5,159.5,909,1079,1041.5
"E1W877",10,10.5,15.5,3.5,0,1.5,1.5,5,0.5,6.5,6,6,21,35.5,32.5,277.5,306.5,334.5
"E1W878",8.5,17,14,2,2,0,2,1.5,0.5,1,4,2,11,9.5,13,80,97.5,121.5
"E1W879",17,21.5,31,3,3,0,1,3,1.5,5.5,5,2,18,18,17,107,139.5,127.5
"E1W880",17.5,24,18,2,6,0.5,7,7,1,6,4.5,9.5,16.5,19,22.5,115.5,132,150
"E1W881",56,55.5,60,18.5,23.5,11,48.5,75.5,18.5,17,61,50,197,249.5,313.5,2041,2245,2430
"E1W882",8.5,12,7,1.5,4,0,6.5,10.5,3,8,17,8,34,36,44,243,239,301.5
"E1W883",51.5,69,30.5,19.5,23,8,22.5,41,5.5,19,40,45,47.5,52,51,122.5,126,142.5
"E1W884",22.5,26.5,19,24.5,26,19.5,39.5,48.5,25.5,36.5,73.5,55.5,70.5,91,85,135,145,188.5
"E1W885",34,42.5,64,1,8,0.5,15,23.5,7,19.5,42,24,45.5,45.5,34,113.5,122.5,153.5
"E1W886",31.5,32.5,45,1,5,0.5,4,12,4.5,7,20.5,11.5,25,21,25,119,143.5,210
"E1W887",115.5,138,114,8,19,4,15.5,23.5,8,8.5,26.5,15,44,46.5,38.5,147.5,168.5,181
"E1W888",509.5,695.5,709,77,105.5,14.5,137.5,231.5,38,88,224,111.5,590.5,623.5,594,3376,4105.5,4135.5
"E1W889",395,517.5,443,62,91,25.5,111,174,43,73.5,177,95.5,397.5,457.5,452.5,2447,2672,2506
"E1W890",40.5,85.5,87,9,9,2,8.5,21,6,12,19.5,16,60.5,73.5,60,315.5,343.5,384.5
"E1W891",158,180,169.5,19,23.5,7.5,32,63.5,13.5,22,47.5,35,97.5,128.5,123.5,464,560.5,510.5
"E1W892",34.5,47,47.5,4,3,1,4,10,3.5,4.5,19,16,35,42.5,41.5,143.5,154.5,197
"E1W893",81.5,127.5,137,9,15.5,9.5,14,29,15.5,11,33.5,29,66,76,68.5,270.5,310.5,328.5
"E1W894",70,90,121,7,9,8,14.5,21.5,7.5,13.5,27,28.5,57.5,72.5,67.5,241.5,265.5,384
"E1W895",179,346,200.5,18.5,27,14.5,39,68,35.5,50,93.5,89.5,170,211,178,639,759,918
"E1W896",268.5,343,357,46,69,21,81,152.5,57.5,127,268.5,131.5,322.5,432,256.5,885,966,1068.5
"E1W897",179.5,239,230,78,109.5,22,125.5,228.5,54,130,229,173.5,239,276,178,341.5,394.5,369.5
"E1W898",144,214.5,200,30.5,51,9,60,103,42,95.5,207,124.5,179,204,151.5,423.5,467.5,473.5
"E1W899",92,114.5,116,10.5,27,4.5,20,43,23.5,24,49.5,50,81,87,63.5,239.5,257,282.5
"E1W8A0",90.5,114,162.5,15.5,18,10,30,43,19.5,34,59.5,41.5,94.5,125,80,272,299,319
"E1W8A1",73,74,61.5,7,4,2,6.5,23,3.5,9,19,16,36,31.5,30.5,118.5,122,165.5
"E1W8A2",39.5,44.5,34,4,5.5,3.5,9,21.5,3,18.5,20.5,13,26,26.5,19,120.5,157.5,100.5
"E1W8A3",147,196,199,11.5,32,6,45,76.5,23.5,36.5,68.5,71.5,135,136,128.5,531.5,570.5,673.5
"E1W8A4",54.5,69,77.5,10,8.5,0.5,6.5,26,5.5,14.5,26.5,12.5,45.5,60,38,191,214.5,204.5
"E1W8A5",17,24.5,26.5,0.5,2,3,7,6.5,2.5,4,6.5,6,21.5,21.5,18.5,118.5,128.5,127
"E1W8A6",16,29.5,25.5,1.5,7,1.5,3.5,4,5,5.5,28.5,6.5,12.5,15,10.5,35.5,50,61
"E1W8A8",12.5,22.5,28,0,0.5,1,0.5,4.5,0.5,3.5,5,1.5,9,11,8,48.5,59,60
"E1W8A9",25,28,17,10.5,13.5,8,9,20.5,8,5,25,20,25,35,30,111.5,133.5,140
"E1W8B0",40.5,57.5,37.5,7,11.5,6,10,15,5,5,17.5,20.5,25.5,37.5,28,98.5,121,111
"E1W8B1",12,9,15,7,7,2.5,9.5,15,2.5,3.5,11.5,8.5,11.5,16,15.5,35.5,47,59
"E1W8B2",5,5,12,0,3,0,4.5,6.5,0.5,2.5,8.5,2.5,4,14,7.5,25,28,45.5
"E1W8B3",18.5,30,22,1.5,2.5,2.5,3.5,2.5,4.5,5,10,6,17,22.5,22.5,74.5,82,107
"E1W8B4",73,94.5,126,7.5,7.5,1,14.5,17,6.5,12.5,30,13,39.5,55.5,33.5,138.5,177.5,197
"E1W8B5",19.5,13.5,16.5,0.5,0.5,0.5,4.5,4,2,1,4.5,2,5.5,9,5,24,39,44.5
"E1W8B6",27.5,37.5,36.5,0.5,3.5,0.5,3,6.5,1,7.5,4,5,9,12.5,11.5,88,66,63.5
"E1W8B7",83.5,99,91,7,11.5,6,15.5,27.5,4.5,14.5,27.5,13.5,37.5,46.5,42,127.5,127,161
"E1W8B8",20,17.5,26.5,1.5,2.5,4,4,7.5,0.5,1.5,5.5,4,14.5,13,10.5,44,63.5,57.5
"E1W8B9",19.5,25.5,31,1,3,3,2,3.5,1.5,3,7.5,3.5,19,26.5,40,191.5,206.5,236.5
"E1W8C0",14,13,16,0.5,4.5,0,2,4.5,0.5,4,8.5,0.5,13.5,14.5,14,51,74,65.5
"E1W8C1",9,11.5,8,1.5,1.5,0,4,2,0.5,2,2,0,15,18.5,31.5,94.5,93,117
"E1W8C2",7,8.5,2.5,0,2,0,0,5,1.5,0.5,1.5,2,5.5,1.5,5.5,27,23.5,32.5
"E1W8C3",1,1.5,2,0.5,0,0,0,2.5,0,0,2.5,1,4,3.5,6.5,30,31,39.5
"E1W8C4",32,37.5,25,2.5,5,1.5,4,13,1,11,17,7,31,45,18.5,148.5,153.5,107
"E1W8C5",8,10,15,1,0.5,0,1.5,0.5,1,3,3,3,3.5,6,13,43.5,60.5,75
"E1W8C6",579.5,781,641.5,36.5,50,25.5,82.5,157.5,59.5,98.5,144.5,90,366.5,426,377.5,1975,2218,2332.5
"E1W8C7",16.5,20.5,18.5,2.5,1,0,2.5,2.5,2.5,3.5,4.5,26.5,10,11,18.5,31,30.5,45.5
"E1W8C8",15.5,12.5,17.5,0.5,1.5,0,3,1.5,2.5,0.5,3,4.5,9.5,9.5,8,36,37,49
"E1W8C9",18.5,16,18.5,5,3.5,0,1.5,7.5,4,0.5,4.5,2,5.5,9.5,7,30.5,28.5,34
"E1W8D0",15,15.5,16,1,0,0,4,7.5,5,2.5,5.5,7,8,11,11.5,53.5,62,79.5
"E1W8D1",4,10,5,0,1.5,0,0.5,2.5,1,0,3,0,2,4.5,2.5,17.5,19,32
"E1W8D3",3.5,6,2.5,0,1.5,0,4,0.5,1.5,0.5,0.5,1,5.5,4,5,18,24,33.5
"E1W8D6",0.5,4,7,0.5,0,0,3,3,0.5,0.5,1,0.5,1,4,2.5,21.5,17,23
"E1W8D8",0.5,2,0.5,0.5,1.5,0,0.5,1,0,0,0.5,0.5,1.5,1,2,11.5,15.5,13
"E1W8D9",1,4,3.5,0,1,0,0.5,2,0.5,0,2,0,3,7,4.5,26.5,34,40
"E1W8E0",1.5,0.5,1.5,1,21.5,0,1,11,0,0.5,2,1,1,12.5,1,16,14,19
"E1W8E1",2.5,0.5,1,1,0,0,0,0.5,0.5,0,0,0.5,0.5,1,2,6.5,8,8
"E1W8E2",1.5,3,4.5,0,2,0,0.5,4,0.5,1.5,2.5,5.5,2.5,2.5,4.5,31.5,45.5,48
"E1W8E4",34,30,69,3.5,8,10.5,5.5,12.5,14,47,118.5,31.5,152.5,182,123.5,450.5,526,597
"E1W8E6",6.5,4.5,9.5,0,2,0,0.5,6,3,3.5,7.5,3.5,20.5,17.5,13.5,78.5,88.5,74
"E1W8F0",5,12,7,0,0,2.5,0.5,1,0.5,0.5,7,2,12.5,8,15.5,58,67.5,102.5
"E1W8F6",28,18.5,16.5,1.5,4,4.5,1.5,9,2.5,6,4.5,6.5,34.5,33.5,42,198,221.5,302
"E1W8F7",2.5,6,2.5,0.5,2.5,0.5,1.5,0.5,0.5,2,8,0.5,7.5,16.5,15,138.5,130,140.5
"E1W8F8",9.5,5,2.5,0.5,4,0,2.5,0.5,1,0.5,2.5,0.5,8,5,11.5,63,90.5,88.5
"E1W8G0",0.5,4.5,0.5,0,0.5,0,0,2,0,0.5,0,0,2,0,4,17.5,29.5,41
"E1W8G3",8.5,10,9,7.5,8,16,33.5,48.5,13.5,16,45,26.5,24,17.5,30,102,113.5,108
"E1W8G4",1.5,2,0.5,2,0.5,0.5,4,4,2.5,4.5,8.5,1.5,4.5,8,7,37.5,40.5,46.5
"E1W8G5",11.5,10.5,12.5,3.5,2.5,60,19,43.5,4,24,38,13.5,29.5,26,38.5,157,171,235
"E1W8G6",2.5,5.5,2.5,0.5,2,1.5,8,8,2,4,5.5,8,6,11,10,46.5,39.5,65
"E1W8G7",2,1.5,2.5,1.5,3,1,6.5,8,3,9.5,22,12,11,19.5,18.5,56.5,74,84
"E1W8G8",19.5,35.5,24,2.5,7,5,14,22.5,6,5.5,12.5,16,14.5,14.5,12.5,57,63.5,92.5
"E1W8G9",9.5,6,3,13.5,20.5,0.5,23.5,40,11.5,11.5,47,46.5,37.5,40.5,35.5,37,56,51
"E1W8H0",1.5,6,2.5,37.5,43,23,60,75,48.5,70.5,139,75.5,118,129.5,83,67.5,79.5,80
"E1W8H1",5,6,9.5,5,10.5,6,25,25,10,11.5,22.5,28.5,28,24.5,39.5,40,53,57.5
"E1W8H2",19.5,28.5,23,1.5,12,2,3,6,7,6.5,14,10,16,19.5,27,94.5,103.5,104.5
"E1W8H3",18,19.5,13.5,22,26,16,23,48,15,47,100,47.5,164,212,142.5,289,342.5,352.5
"E1W8H4",40.5,51.5,52,6,5,3,12,16,8,8,15.5,6,23.5,19,23,80,91.5,87.5
"E1W8H5",20,25,29.5,2,2.5,3,1.5,10.5,3,8,8,11.5,19,19.5,18.5,76,78,82.5
"E1W8H6",27,13.5,16,1.5,2,0,6,6,1,6,12.5,6,14,17.5,23,94.5,104.5,110.5
"E1W8H7",5,14.5,19,4.5,6,1,5,5.5,5.5,4.5,6,18.5,31,28,45,273.5,284.5,368
"E1W8H9",4.5,6.5,5,1.5,3,1.5,4.5,4.5,2.5,1.5,7,5.5,35.5,51.5,53.5,384.5,379.5,444
"E1W8I0",76.5,99.5,81.5,19,17.5,11,22,55.5,12,29.5,67.5,40,77,104,70,198,244.5,270.5
"E1W8I1",17.5,31,17.5,1,0,1,4,5,1,1.5,4.5,3.5,12,21.5,20,97,110.5,124.5
"E1W8I2",18.5,22.5,22.5,4.5,3,0.5,0.5,6.5,3,2.5,8,13,14,19,14.5,88.5,108,122.5
"E1W8I3",24,30.5,30,1,5,1,3.5,6,2,4.5,5,6.5,13.5,27,25,76,83.5,103
"E1W8I4",5.5,8,4.5,3,4,1.5,6,6,1,4.5,10,7,20,18.5,16,37.5,64,72
"E1W8I5",58,63.5,64.5,10,5.5,4.5,16.5,31.5,7.5,12.5,36,23,46,55,55,166.5,157,169
"E1W8I6",56.5,96.5,193,8,5.5,1.5,7,10.5,6,19.5,47.5,9,66,54.5,71,584,481.5,237.5
